ID,Money related,Personal information related,Inducement words related,Promotional content related,Kinship related,Label
1,money,id,help,sales,mother,1
2,warrant,id,support,sales,son,1
3,taxes,id,police,sales,son,1
4,money,id,security,service,son,1
5,insurance,id,irs,gift,husband,1
6,money,id,irs,gift,husband,1
7,warrant,id,support,sales,son,1
8,card,address,irs,sales,son,1
9,warrant,id,police,sales,son,1
10,dollars,id,irs,system,son,1
11,money,id,support,sales,son,1
12,taxes,id,irs,sales,son,1
13,money,id,government,sales,wife,1
14,credit,id,support,system,son,1
15,money,account,police,gift,son,1
16,warrant,id,irs,gift,husband,1
17,bill,id,irs,service,wife,1
18,bank,account,irs,system,son,1
19,insurance,id,help,offer,husband,1
20,insurance,details,irs,offer,son,1
21,bank,account,irs,gift,son,1
22,taxes,id,irs,sales,son,1
23,insurance,id,help,sales,son,1
24,insurance,id,accident,sales,son,1
25,money,id,government,sales,son,1
26,money,address,virus,sales,son,1
27,money,information,irs,gift,son,1
28,money,id,police,sales,son,1
29,insurance,account,irs,offer,son,1
30,taxes,email,irs,gift,husband,1
31,card,id,irs,sales,son,1
32,money,id,virus,sales,son,1
33,money,id,irs,course,husband,1
34,bank,account,access,sales,son,1
35,dollars,id,help,sales,son,1
36,warrant,id,irs,site,wife,1
37,money,id,problem,course,son,1
38,bill,account,message,sales,son,1
39,money,id,help,sales,son,1
40,taxes,id,irs,gift,husband,1
41,money,id,irs,program,son,1
42,bill,id,irs,gift,parents,1
43,money,id,police,internet,son,1
44,money,address,irs,sales,son,1
45,bill,id,irs,gift,wife,1
46,money,id,irs,gift,mother,1
47,warrant,id,problem,system,son,1
48,money,id,irs,gift,husband,1
49,money,id,police,sales,son,1
50,bill,account,message,service,son,1
51,bank,account,irs,gift,son,1
52,money,information,irs,sales,son,1
53,bill,id,support,sales,son,1
54,bill,id,government,sales,son,1
55,dollars,id,irs,sales,son,1
56,dollars,id,message,sales,son,1
57,money,id,irs,sales,son,1
58,money,id,irs,gift,husband,1
59,bill,account,message,service,son,1
60,insurance,id,irs,sales,son,1
61,dollars,id,irs,gift,husband,1
62,bank,account,support,course,son,1
63,credit,id,irs,offer,son,1
64,money,id,irs,gift,husband,1
65,card,id,security,site,son,1
66,credit,id,irs,sales,son,1
67,money,id,irs,sales,son,1
68,money,address,police,sales,son,1
69,card,id,support,sales,son,1
70,warrant,id,arrest,sales,son,1
