Scam Record,Content
1,"My favorite is the “Grandma I’m in trouble call.” I have neither spouse nor children, so it is difficult to imagine how I would have acquired a grandchild.
“Grandma, How are you?”
“OK.”
“Do you know who this is?”
“Of course, I know my own grandson.”
“Grandma, how are you doing?”
“Not so good, honey. Actually, I am in real trouble. I was on the way home from church, and the police officer was really very nice when he stopped me. He just did not understand that your grandpa really needs his medicinal marijuana. So I have been charged with possession with intent to distribute. I am so glad you called."
2,"I might be a little biased, but as an Asana employee, I believe Asana is the best project management tool. With Asana, my entire team has a central source of truth so they know exactly who’s doing what by when. We can track all of our tasks and stay aligned on our team goals. This has been especially important recently, since it’s enabled our team to manage shifting priorities and take any new challenges in stride.
Every team is different, so your team might not use Asana exactly like my team does. But every team can benefit from more clarity, coordination, and collaboration at work. Here are f"
3,"I had the “I’m calling to fix your Windows” call. I played the dumb as a rock woman.
Me: “Finally! I’ve been waiting all day for you guys to show up!”
Scammer: “No, we don’t come to your house. I fix your Windows.”
Me: “Well of course you do, and it has a big crack in it. Your company said you would be here today, and I’ve been waiting all day.”
Scammer: “Lady, I’m fixing the Windows on your computer.”
Me: “Oh my goodness! You mean you can fix that too? Great! But I need the living room window fixed first, the rain is getting in, and we’re having a problem with birds flying in. One has even started"
4,"One time, I was hanging out at my grandmother’s house, and she got a phone call. This was a few years ago, when she only had two grandkids - me and my brother.
When my grandma looked at the caller ID, she didn’t recognize the number, so she winked at me, and answered the phone, putting it on speakerphone.
Scammer: Hey, Grandma, I just wanted to ask for a little bit of help. I’m stuck in New York. I went there, but I didn’t have enough money to get back.
Now, this voice was distinctly female, maybe in their twenties. I’m only fifteen, and I was ten or eleven, maybe twelve, when this call was takin"
5,"A young woman, perhaps in her early twenties by the sound of her voice, called me pretending to be from Microsoft. She had an American accent and was very pleasant. I acted like a befuddled Senior.
“Sir, what kind of computer do you have? We detected suspicious activity and we need to resolve this now to protect you and our servers.”
“Well young lady, the sticker says Tandy 286.”
“Ummm, I’m not familiar with that brand. Where did you buy it?”
“Radio Shack about 10 years ago—- no make that 1978, and this is 2010, so that would be — now let me get my calculator— I had it here someplace…”"
6,"I had a young lady email me first, saying she had compromising photos of me. She wanted $1500. I indicated that I have no family and she had nobody to send photos to (BTW, she had no photos). I told her to bugger off.
Five minutes after I didn't answer her nasty texts, my phone rang. It was a Colorado Springs number… She told me her price was now $2500. I said I now had her phone number and I'd track her. She told me she was untraceable, and now the process was $3000.
I traced it — it was a burner phone, but she had paid for it with a real credit card. I tracked the address and punched it into G"
7,"I got legitimately freaked out this week.
This person called me on my work phone number while I was talking to a co-worker. I picked up the phone,
-Paraphrasing closely-
Me: “Hello?”
Her: <in a slightly shaken voice - a middle-aged woman immediately skips saying hello and dives into the below>
“I just wanted to let you know that I know you’ve been looking into my window and looking at me.”
(!!! !!!!!!!!!!!!!!!!!!!!!!!!What!!!!!!!!!!!!!?)"
8,"Fake car warranty company calls my cell:
Associate from scammer support (ass): Hello Ms. Mazza… mazzer… er. Hello I’m calling you today to let you know that the warranty on your 2012 Hyundai is about to expire. (Btw- my poor car has been totalled and in car heaven)
Me: oh really?
ASS: yes but I can set you up with a new warranty right away
Me: great! (Sounding overly enthusiastic). I just have a few questions first.
ASS: How many miles are on your car?"
9,"Me: “Hello.”
NOT-Microsoft support: “Hello. This is Bob Bobson from Microsoft Support. We are seeing a lot of virus activity from your device.”
Me: “Oh no. My device? Are you sure?”
NOT-Microsoft support: “Oh yes, we have many reports.”
Me: “Oh jeez. How can I fix it?”
NOT-Microsoft support: “It’s OK, sir. We can help you right now. Are you in front of your device, sir?”
Me: “Yes. I was just about to use it. I’m glad you called.”
NOT-Microsoft support: “Yes sir, we are going to help you. Can you please push the Start button?”"
10,"I got a call from “Amazon Customer Service.” That is how it appeared on my phone. The caller said that they suspected someone was fraudulently trying to use my account and to fix it, he needed my credit card number. I told him I was driving (my husband was driving, but whatever) and I couldn’t dig the card out at the moment. He asked me to set a time for him to call me back, which I did. In the meantime, I called Amazon (a) to confirm my suspicions that it was a scam, and (b) to let them know they were being used in a scam. At the appointed time, the scammer called back. I answered the phone “"
